festival_name,dong_name,lat,lng,address,matched
제13회 둔내고랭지토마토축제,둔내면,37.5159106409694,128.21461300735,강원특별자치도 횡성군 둔내면 경강로 4708,둔내종합체육공원
제11회 횡성더덕축제,청일면,37.5837464013969,128.150414957403,강원특별자치도 횡성군 청일면,강원특별자치도 횡성군 청일면
제16회 안흥찐빵축제,안흥면,37.409659683361845,128.15556658629694,강원특별자치도 횡성군 안흥면 주천강로 1868,안흥찐빵모락모락마을
제20회 횡성한우축제,횡성읍,37.5062596499618,127.080391938294,서울 송파구 백제고분로 122,메가스테이 종합운동장점
제5회 횡성호수길축제,갑천면,37.5497819054097,128.062607234619,강원특별자치도 횡성군 갑천면 구방리 산 164,횡성호수길축제
제35회 회다지민속문화제,우천면,37.4594058323665,128.06243796948,강원특별자치도 횡성군 우천면,강원특별자치도 횡성군 우천면
제5회 태종노구문화제,강림면,37.3602310480308,128.125412513164,강원특별자치도 횡성군 강림면,강원특별자치도 횡성군 강림면
제2회 소(牛)맥 프리미엄 페스티벌,공근면,37.5364543513987,127.961772076306,강원특별자치도 횡성군 공근면,강원특별자치도 횡성군 공근면
단종문화제,영월읍,37.1874352109429,128.466067893114,강원특별자치도 영월군 영월읍,강원특별자치도 영월군 영월읍
동강뗏목축제,영월읍,37.17916680646155,128.46935360308808,강원특별자치도 영월군 영월읍 하송리 61-9,동강둔치공원
김삿갓문화제,김삿갓면,37.07948843060603,128.60176116712654,강원특별자치도 영월군 김삿갓면 김삿갓로 216-22,난고 김삿갓문학관
제30회 대관령눈꽃축제,대관령면,37.67254761652138,128.71102222634033,강원특별자치도 평창군 대관령면 대관령로 135-9,대관령눈꽃축제
2024 계촌클래식축제,방림면,37.4264490397723,128.394222710894,강원특별자치도 평창군 방림면,강원특별자치도 평창군 방림면
2024 평창더위사냥축제,대화면,37.5009465792778,128.458050807458,강원특별자치도 평창군 대화면,강원특별자치도 평창군 대화면
2024 평창효석문화제,봉평면,37.6161929793163,128.379492494281,강원특별자치도 평창군 봉평면,강원특별자치도 평창군 봉평면
2024 평창농악축제,용평면,37.6066960645327,128.440214137176,강원특별자치도 평창군 용평면,강원특별자치도 평창군 용평면
2024 평창백일홍축제,평창읍,37.3677151528904,128.400549022928,강원특별자치도 평창군 평창읍,강원특별자치도 평창군 평창읍
제18회 정선 동강할미꽃 축제,정선읍,37.3797685014938,128.661694256573,강원특별자치도 정선군 정선읍,강원특별자치도 정선군 정선읍
함백산야생화축제,고한읍,37.14876066997344,128.89786624591824,강원특별자치도 영월군 상동읍 구래리 산 1-35,함백산야생화축제
제28회 사북석탄문화제,사북읍,37.2302092482422,128.839644156998,강원특별자치도 정선군 사북읍 소금강로 3500-34,정선군하늘터
두위봉 철쭉축제,신동읍,37.2082990109345,128.70878054884,강원특별자치도 정선군 신동읍 방제리,단곡계곡
제32회 화암약수제,화암면,37.3401338968677,128.787796810301,강원특별자치도 정선군 화암면,강원특별자치도 정선군 화암면
2024 정선토속음식 축제,북평면,37.4488891078994,128.670490518986,강원특별자치도 정선군 북평면,강원특별자치도 정선군 북평면
항골 숨바우길 트레킹 대회,북평면,37.4488891078994,128.670490518986,강원특별자치도 정선군 북평면,강원특별자치도 정선군 북평면
제49회 정선아리랑제,정선읍,37.3772285609088,128.666000365928,강원특별자치도 정선군 정선읍 봉양리 104,정선공설운동장
제13회 철원 한탄강 얼음트레킹 축제,동송읍,38.2072165163278,127.208191410563,강원특별자치도 철원군 동송읍,강원특별자치도 철원군 동송읍
제18회 철원 화강 다슬기 축제,김화읍,38.2498053653871,127.421185539773,강원특별자치도 철원군 김화읍,강원특별자치도 철원군 김화읍
제42회 태봉제,갈말읍,38.1477243520665,127.30830034891,강원특별자치도 철원군 갈말읍,강원특별자치도 철원군 갈말읍
제19회 산천어축제,화천읍,38.1042562811837,127.707178844679,강원특별자치도 화천군 화천읍,강원특별자치도 화천군 화천읍
제20회 화천토마토축제,사내면,38.07282667100494,127.40888608547777,경기 포천시 이동면 도평리 720,포천백운계곡 동장군축제
