datetime,hour,STN,TA,RN,SD_TOT
2023-08-06,18,131,35.0,0.0,
2023-08-06,19,131,34.2,0.0,
2023-08-06,20,131,32.0,0.0,
2023-08-06,21,131,31.5,0.0,
2023-08-06,22,131,31.0,0.0,
2023-08-06,23,131,30.3,0.0,
2023-08-07,0,131,29.2,0.0,
2023-08-07,1,131,29.2,0.0,
2023-08-07,2,131,28.9,0.0,
2023-08-07,3,131,28.6,0.0,
2023-08-07,4,131,29.3,0.0,
2023-08-07,5,131,28.5,0.0,
2023-08-07,6,131,28.5,0.0,
2023-08-07,7,131,28.7,0.0,
2023-08-07,8,131,30.0,0.0,
2023-08-07,9,131,31.7,0.0,
2023-08-07,10,131,32.2,0.0,
2023-08-07,11,131,33.2,0.0,
2023-08-07,12,131,33.3,0.0,
2023-08-07,13,131,33.6,0.0,
2023-08-07,14,131,34.3,0.0,
2023-08-07,15,131,31.2,0.0,
2023-08-07,16,131,31.1,0.0,
2023-08-07,17,131,29.7,0.0,
2023-08-07,18,131,30.4,0.0,
2023-08-07,19,131,29.6,0.0,
2023-08-07,20,131,29.5,0.0,
2023-08-07,21,131,29.2,0.0,
2023-08-07,22,131,29.0,0.0,
2023-08-07,23,131,29.0,0.0,
2023-08-08,0,131,29.6,0.0,
2023-08-08,1,131,28.6,0.0,
2023-08-08,2,131,27.7,0.0,
2023-08-08,3,131,27.1,0.0,
2023-08-08,4,131,26.7,0.0,
2023-08-08,5,131,26.7,0.0,
2023-08-08,6,131,26.1,0.0,
2023-08-08,7,131,27.2,0.0,
2023-08-08,8,131,28.4,0.0,
2023-08-08,9,131,30.0,0.0,
2023-08-08,10,131,31.2,0.0,
2023-08-08,11,131,32.4,0.0,
2023-08-08,12,131,32.8,0.0,
2023-08-08,13,131,33.7,0.0,
2023-08-08,14,131,34.2,0.0,
2023-08-08,15,131,34.4,0.0,
2023-08-08,16,131,34.9,0.0,
2023-08-08,17,131,34.2,2.3,
2023-08-08,18,131,33.1,0.0,
2023-08-08,19,131,30.6,0.0,
2023-08-08,20,131,30.8,0.0,
2023-08-08,21,131,31.3,0.0,
2023-08-08,22,131,31.0,0.0,
2023-08-08,23,131,30.5,0.0,
2023-08-09,0,131,30.1,0.0,
2023-08-09,1,131,29.5,0.0,
2023-08-09,2,131,27.8,0.0,
2023-08-09,3,131,27.0,0.0,
2023-08-09,4,131,26.7,0.0,
2023-08-09,5,131,26.3,0.0,
2023-08-09,6,131,26.2,0.0,
2023-08-09,7,131,26.1,0.0,
2023-08-09,8,131,26.8,0.0,
2023-08-09,9,131,28.2,0.0,
2023-08-09,10,131,29.5,0.0,
2023-08-09,11,131,30.8,0.0,
2023-08-09,12,131,31.9,0.0,
2023-08-09,13,131,31.5,0.0,
2023-08-09,14,131,31.4,0.0,
2023-08-09,15,131,31.2,0.0,
2023-08-09,16,131,30.2,0.0,
2023-08-09,17,131,27.7,0.4,
2023-08-09,18,131,26.5,1.7,
2023-08-09,19,131,25.8,0.3,
2023-08-09,20,131,25.2,2.7,
2023-08-09,21,131,24.7,2.9,
2023-08-09,22,131,24.2,5.1,
2023-08-09,23,131,24.0,2.8,
2023-08-10,0,131,23.5,13.6,
2023-08-10,1,131,23.6,2.3,
2023-08-10,2,131,23.1,1.2,
2023-08-10,3,131,22.8,2.6,
2023-08-10,4,131,22.7,4.8,
2023-08-10,5,131,22.7,3.6,
2023-08-10,6,131,22.7,3.7,
2023-08-10,7,131,22.5,12.8,
2023-08-10,8,131,22.2,12.6,
2023-08-10,9,131,22.0,9.5,
2023-08-10,10,131,21.9,7.6,
2023-08-10,11,131,22.2,8.2,
2023-08-10,12,131,22.4,6.9,
2023-08-10,13,131,22.3,7.1,
2023-08-10,14,131,22.2,5.2,
2023-08-10,15,131,21.8,8.7,
2023-08-10,16,131,22.0,4.8,
2023-08-10,17,131,21.7,1.2,
2023-08-10,18,131,21.7,1.7,
2023-08-10,19,131,21.7,1.0,
2023-08-10,20,131,21.9,0.2,
2023-08-10,21,131,21.7,1.1,
2023-08-10,22,131,22.0,2.0,
2023-08-10,23,131,22.0,0.5,
2023-08-11,0,131,22.2,0.5,
2023-08-11,1,131,22.0,0.5,
2023-08-11,2,131,22.4,2.0,
2023-08-11,3,131,22.8,0.8,
2023-08-11,4,131,22.8,1.4,
2023-08-11,5,131,23.3,0.8,
2023-08-11,6,131,23.6,0.4,
2023-08-11,7,131,23.7,0.0,
2023-08-11,8,131,24.4,0.0,
2023-08-11,9,131,25.2,0.0,
2023-08-11,10,131,26.3,0.0,
2023-08-11,11,131,28.5,0.0,
2023-08-11,12,131,29.0,0.0,
2023-08-11,13,131,29.7,0.0,
2023-08-11,14,131,30.4,0.0,
2023-08-11,15,131,29.8,0.0,
2023-08-11,16,131,29.2,0.0,
2023-08-11,17,131,28.6,0.0,
2023-08-11,18,131,28.1,0.0,
2023-08-11,19,131,27.7,0.0,
2023-08-11,20,131,27.3,0.0,
2023-08-11,21,131,26.2,0.0,
2023-08-11,22,131,26.1,0.1,
2023-08-11,23,131,25.7,0.0,
2023-08-12,0,131,25.7,0.0,
2023-08-12,1,131,25.5,0.0,
2023-08-12,2,131,25.3,0.0,
2023-08-12,3,131,25.1,0.0,
2023-08-12,4,131,24.9,0.0,
2023-08-12,5,131,24.7,0.0,
2023-08-12,6,131,24.6,0.0,
2023-08-12,7,131,22.8,0.0,
2023-08-12,8,131,22.3,0.0,
2023-08-12,9,131,23.2,0.0,
2023-08-12,10,131,24.2,0.0,
2023-08-12,11,131,24.5,0.0,
2023-08-12,12,131,23.3,1.9,
2023-08-12,13,131,25.4,0.0,
2023-08-12,14,131,25.8,0.0,
2023-08-12,15,131,28.8,0.0,
2023-08-12,16,131,29.1,0.0,
2023-08-12,17,131,29.2,0.0,
2023-08-12,18,131,29.2,0.0,
2023-08-12,19,131,28.2,0.0,
2023-08-12,20,131,27.5,0.0,
2023-08-12,21,131,26.0,0.0,
2023-08-12,22,131,25.2,0.0,
2023-08-12,23,131,24.8,0.0,
2023-08-13,0,131,24.8,0.0,
2023-08-13,1,131,24.3,0.0,
2023-08-13,2,131,24.3,0.0,
2023-08-13,3,131,24.5,0.0,
2023-08-13,4,131,23.9,0.0,
2023-08-13,5,131,24.3,0.0,
2023-08-13,6,131,23.8,0.0,
2023-08-13,7,131,24.1,0.0,
2023-08-13,8,131,24.7,0.0,
2023-08-13,9,131,25.9,0.0,
2023-08-13,10,131,27.7,0.0,
2023-08-13,11,131,29.1,0.0,
2023-08-13,12,131,30.6,0.0,
2023-08-13,13,131,30.8,0.0,
2023-08-13,14,131,31.1,0.0,
2023-08-13,15,131,31.8,0.0,
2023-08-13,16,131,32.5,0.0,
2023-08-13,17,131,32.4,0.0,
2023-08-13,18,131,31.7,0.0,
2023-08-13,19,131,31.1,0.0,
2023-08-13,20,131,30.2,0.0,
2023-08-13,21,131,29.7,0.0,
2023-08-13,22,131,28.6,0.0,
2023-08-13,23,131,28.0,0.0,
2023-08-14,0,131,27.2,0.0,
2023-08-14,1,131,27.2,0.0,
2023-08-14,2,131,26.8,0.0,
2023-08-14,3,131,26.6,0.0,
2023-08-14,4,131,26.2,0.0,
2023-08-14,5,131,25.6,0.0,
2023-08-14,6,131,25.5,0.0,
2023-08-14,7,131,26.3,0.0,
